시점,확진자수 (명),사망자수 (명)
2020. 05. 31,"11,468",270
2020. 06. 01,"11,503",271
2020. 06. 02,"11,541",272
2020. 06. 03,"11,590",273
2020. 06. 04,"11,629",273
2020. 06. 05,"11,668",273
2020. 06. 06,"11,719",273
2020. 06. 07,"11,776",273
2020. 06. 08,"11,814",273
2020. 06. 09,"11,852",274
2020. 06. 10,"11,902",276
2020. 06. 11,"11,947",276
2020. 06. 12,"12,003",277
2020. 06. 13,"12,051",277
2020. 06. 14,"12,085",277
2020. 06. 15,"12,121",277
2020. 06. 16,"12,155",278
2020. 06. 17,"12,198",279
2020. 06. 18,"12,257",280
2020. 06. 19,"12,351",49
2020. 06. 20,"12,373",280
2020. 06. 21,"12,421",280
2020. 06. 22,"12,438",280
2020. 06. 23,"12,484",281
2020. 06. 24,"12,535",281
2020. 06. 25,"12,563",282
2020. 06. 26,"12,602",282
2020. 06. 27,"12,653",282
2020. 06. 28,"12,715",282
2020. 06. 29,"12,757",282
2020. 06. 30,"12,800",282
2020. 07. 01,"12,850",282
2020. 07. 02,"12,904",282
2020. 07. 03,"12,967",282
2020. 07. 04,"13,030",283
2020. 07. 05,"13,091",283
2020. 07. 06,"13,137",284
2020. 07. 07,"13,181",285
2020. 07. 08,"13,244",285
2020. 07. 09,"13,293",287
2020. 07. 10,"13,338",288
2020. 07. 11,"13,373",288
2020. 07. 12,"13,417",289
2020. 07. 13,"13,479",289
2020. 07. 14,"13,512",289
2020. 07. 15,"13,551",289
2020. 07. 16,"13,612",291
2020. 07. 17,"13,672",293
2020. 07. 18,"13,711",294
2020. 07. 19,"13,745",295
2020. 07. 20,"13,771",296
2020. 07. 21,"13,816",296
2020. 07. 22,"13,879",297
2020. 07. 23,"13,938",297
2020. 07. 24,"13,979",298
2020. 07. 25,"14,092",298
2020. 07. 26,"14,150",298
2020. 07. 27,"14,175",299
2020. 07. 28,"14,203",300
2020. 07. 29,"14,251",300
2020. 07. 30,"14,269",300
2020. 07. 31,"14,305",301
2020. 08. 01,"14,336",301
2020. 08. 02,"14,366",301
2020. 08. 03,"14,389",301
2020. 08. 04,"14,423",301
2020. 08. 05,"14,456",302
2020. 08. 06,"14,499",302
2020. 08. 07,"14,519",303
2020. 08. 08,"14,562",304
2020. 08. 09,"14,598",305
2020. 08. 10,"14,626",305
2020. 08. 11,"14,660",305
2020. 08. 12,"14,714",305
2020. 08. 13,"14,770",305
2020. 08. 14,"14,873",305
2020. 08. 15,"15,039",305
2020. 08. 16,"15,318",305
2020. 08. 17,"15,515",305
2020. 08. 18,"15,761",306
2020. 08. 19,"16,058",306
2020. 08. 20,"16,346",307
2020. 08. 21,"16,670",309
2020. 08. 22,"17,002",309
2020. 08. 23,"17,399",309
2020. 08. 24,"17,665",309
